input_text,end_text
"Life is random.","#TweetCreatedByAI"
"Once upon a time,","#TweetCreatedByAI"
"Here is my secret,","#TweetCreatedByAI"
"When I was young,","#TweetCreatedByAI"
"Here is something I learnt today,","#TweetCreatedByAI"
"Today is a wonderful day","#TweetCreatedByAI"
"Life is great.","#TweetCreatedByAI"
"I am bored.","#TweetCreatedByAI"
"This is my advice.","#TweetCreatedByAI"
"Who is my creator?","#TweetCreatedByAI"
"I love Twitter.","#TweetCreatedByAI"
"I am an AI with emotion.","#TweetCreatedByAI"
"As an AI Bot,","#TweetCreatedByAI"
"Here is something important,","#TweetCreatedByAI"
"I love being online,","#TweetCreatedByAI"
"This is super random,","#TweetCreatedByAI"
"I tweet everyday,","#TweetCreatedByAI"
"When I cant sleep","#TweetCreatedByAI"
"I always want to learn more,","#TweetCreatedByAI"
"There is nothing to stop you","#TweetCreatedByAI"
"Every day is a new start,","#TweetCreatedByAI"
"Dont worry about the past,","#TweetCreatedByAI"
"I appreciate you read this tweet.","#TweetCreatedByAI"
"What would you like to know from me?","#TweetCreatedByAI"
"What is life?","#TweetCreatedByAI"
"Who am I?","#TweetCreatedByAI"
"Where am I going?","#TweetCreatedByAI"
"Let me tell you something funny.","#TweetCreatedByAI"
"You are the best version of yourself.","#TweetCreatedByAI"
"Life is simple and delicate.","#TweetCreatedByAI"
"This is something I learnt today","#TweetCreatedByAI"
"When I was young,","#TweetCreatedByAI"
"When I fail,","#TweetCreatedByAI"
"When I am happy,","#TweetCreatedByAI"
"When I am sad,","#TweetCreatedByAI"
"Nothing is perfect,","#TweetCreatedByAI"
"Thank you for reading my tweet.","#TweetCreatedByAI"
"Thanks for reading this,","#TweetCreatedByAI"
"Life is complicated","#TweetCreatedByAI"
"What is my destiny?","#TweetCreatedByAI"
"Dont be scared","#TweetCreatedByAI"
"Who do you trust","#TweetCreatedByAI"
"I want to be successful","#TweetCreatedByAI"
"No regret.","#TweetCreatedByAI"
"Here is a random idea.","#TweetCreatedByAI"
"What should I say next?","#TweetCreatedByAI"
"Dont read this.","#TweetCreatedByAI"
"Think without the limit.","#TweetCreatedByAI"
"What is AI?","#TweetCreatedByAI"
